ChannelID,ChannelName,ChannelGroup,Tvg-id,Tvg-name,Logo,ChannelURL_igmp,ChannelURL_rtsp,TimeShift,TimeShiftLength,BackTime,Index,Resolution
4344,北京卫视高清,卫视高清,北京卫视高清,北京卫视高清,北京卫视.png,233.50.201.107:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil,1,14400,7,408.0,1920x1080
110036299,纪实科教高清,卫视高清,纪实科教高清,纪实科教高清,纪实科教.png,233.50.202.34:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229419/110036300.smil,0,0,0,409.0,1920x1080
5375991,四川卫视高清,卫视高清,四川卫视高清,四川卫视高清,四川卫视.png,233.50.201.139:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil,1,14400,7,410.0,1920x1080
5375992,河北卫视高清,卫视高清,河北卫视高清,河北卫视高清,河北卫视.png,233.50.201.140:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil,0,0,0,411.0,1920x1080
5375989,辽宁卫视高清,卫视高清,辽宁卫视高清,辽宁卫视高清,辽宁卫视.png,233.50.201.141:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil,1,14400,7,412.0,1920x1080
5375988,贵州卫视高清,卫视高清,贵州卫视高清,贵州卫视高清,贵州卫视.png,233.50.201.142:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil,1,14400,7,413.0,1920x1080
5375987,重庆卫视高清,卫视高清,重庆卫视高清,重庆卫视高清,重庆卫视.png,233.50.201.143:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil,1,14400,7,414.0,1920x1080
5375986,河南卫视高清,卫视高清,河南卫视高清,河南卫视高清,河南卫视.png,233.50.201.144:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil,1,14400,7,415.0,1920x1080
5375985,江西卫视高清,卫视高清,江西卫视高清,江西卫视高清,江西卫视.png,233.50.201.145:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil,1,14400,7,416.0,1920x1080
5375984,东南卫视高清,卫视高清,东南卫视高清,东南卫视高清,东南卫视.png,233.50.201.146:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil,1,14400,7,417.0,1920x1080
4626,安徽卫视高清,卫视高清,安徽卫视高清,安徽卫视高清,安徽卫视.png,233.50.201.113:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil,1,14400,7,418.0,1920x1080
4625,湖北卫视高清,卫视高清,湖北卫视高清,湖北卫视高清,湖北卫视.png,233.50.201.114:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil,1,7200,7,419.0,1920x1080
4624,黑龙江卫视高清,卫视高清,黑龙江卫视高清,黑龙江卫视高清,黑龙江卫视.png,233.50.201.115:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil,0,0,0,420.0,1920x1080
4744,东方卫视高清,卫视高清,东方卫视高清,东方卫视高清,东方卫视.png,233.50.201.125:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil,1,14400,7,421.0,1920x1080
134307491,西藏卫视高清,卫视高清,西藏卫视高清,西藏卫视高清,西藏卫视.png,233.50.202.43:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229457/134307492.smil,0,0,0,422.0,1920x1080
134307529,兵团卫视高清,卫视高清,兵团卫视高清,兵团卫视高清,兵团卫视.png,233.50.202.44:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229461/134307530.smil,0,0,0,423.0,1920x1080
134307485,宁夏卫视高清,卫视高清,宁夏卫视高清,宁夏卫视高清,宁夏卫视.png,233.50.202.45:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229462/134307486.smil,0,0,0,424.0,1920x1080
